id_species,name_species,id_photo,slug,common_names_en,common_names_de,common_names_es,common_names_fr,scientific_name,taxonomy,id_category,tags
tringa-melanoleuca,Greater Yellowlegs,khm-20210821-1200-0000090151,greater-yellowlegs,Greater Yellowlegs,Großer Gelbschenkel,"Pitotoy grande, Chorlo mayor de patas amarillas, Archibebe patigualdo grande",Grand Chevalier,Tringa melanoleuca,Charadriiformes|Scolopacidae,birds,"birds, shorebirds"
tringa-solitaria,Solitary Sandpiper,khm-20190511-1640-1557578457,solitary-sandpiper,Solitary Sandpiper,Einsamer Wasserläufer,Andarríos solitario,Chevalier solitaire,Tringa solitaria,Charadriiformes|Scolopacidae,birds,"birds, shorebirds"
turdus-migratorius,American Robin,khm-20160123-2032-1453563123,american-robin,American Robin,Wanderdrossel,Robín americano,Merle d'Amérique,Turdus migratorius,Passeriformes|Turdidae,birds,"birds, robins"
tyrannus-tyrannus,Eastern Kingbird,khm-20180630-1936-1530372994,eastern-kingbird,Eastern Kingbird,Königstyrann,Pitirre americano,Tyran tritri,Tyrannus tyrannus,Passeriformes|Tyrannidae,birds,"birds, flycatchers"
vanessa-cardui,Painted Lady,khm-20170916-1307-1505552850,painted-lady,Painted Lady,Distelfalter,Vanesa de los cardos,"Belle-Dame, Vanesse des chardons",Vanessa cardui,Lepidoptera|Nymphalidae,butterflies,"butterflies, brush-footed"
vireo-gilvus,Warbling Vireo,khm-20180511-2306-1526065602,warbling-vireo,Warbling Vireo,Sängervireo,"Vireo gorjeador, Vireo cantor",Viréo mélodieux,Vireo gilvus,Passeriformes|Vireonidae,birds,"birds, vireos"
vireo-philadelphicus,Philadelphia Vireo,khm-20160903-1456-1472900175,philadelphia-vireo,Philadelphia Vireo,Philadelphiavireo,Vireo de Filadelfia,Viréo de Philadelphie,Vireo philadelphicus,Passeriformes|Vireonidae,birds,"birds, vireos"
vulpes-vulpes,Red Fox,khm-20180512-1351-1526118703,red-fox,Red Fox,Rotfuchs,Zorro Rojo,Renard Roux,Vulpes vulpes,Carnivora|Canidae,mammals,"mammals, canines"
zonotrichia-albicollis,White-throated Sparrow,khm-20170513-1646-1494679594,white-throated-sparrow,White-throated Sparrow,Weißkehlammer,Chingolo gorgiblanco,Bruant à gorge blanche,Zonotrichia albicollis,Passeriformes|Passerellidae,birds,"birds, sparrows"
zonotrichia-leucophrys,White-crowned Sparrow,khm-20180520-1123-1526801027,white-crowned-sparrow,White-crowned Sparrow,Dachsammer,Gorrión corona blanca,Bruant à couronne blanche,Zonotrichia leucophrys,Passeriformes|Passerellidae,birds,"birds, sparrows"
